delivery_id,order_id,dispatch_date,promised_date,delivered_date,carrier,service_level,delivery_status,delay_days,on_time_in_full,fulfilment_hours,delivery_cost,delay_reason,promised_days,tracking_event_count,delivery_window,shipping_distance_km,signature_required,estimated_carbon_kg,delivery_note_clean
HDEL000059,HORD000059,2018-05-19,2018-05-24,2018-05-22,StarTrack,Standard,Delivered,0,True,41,9.22,none,5,5,Afternoon,8.3886,True,0.576,delivered within promise
HDEL000060,HORD000060,2018-07-09,2018-07-15,2018-07-13,StarTrack,Standard,Delivered,0,True,24,12.46,none,6,7,Afternoon,4.677,True,1.168,delivered within promise
HDEL000061,HORD000061,2018-03-25,2018-03-29,2018-03-29,StarTrack,Express,Delivered,0,True,18,19.91,none,4,5,Anytime,8.3145,False,0.455,delivered within promise
HDEL000062,HORD000062,2018-09-20,2018-09-23,2018-09-22,StarTrack,Standard,Delivered,0,True,48,12.09,none,3,7,Morning,7.8955,True,0.508,delivered within promise
HDEL000063,HORD000063,2018-04-05,2018-04-08,2018-04-08,Direct Freight,Standard,Delivered,0,True,17,6.66,none,3,6,Morning,1.0768,True,0.262,delivered within promise
HDEL000064,HORD000064,2018-04-17,2018-04-20,2018-04-20,DHL,Standard,Delivered,0,True,38,8.36,none,3,5,Morning,3.028,True,0.613,delivered within promise
HDEL000065,HORD000065,2018-11-26,2018-12-03,2018-12-01,DHL,Standard,Delivered,0,True,22,10.45,none,7,7,Afternoon,8.5645,False,0.469,delivered within promise
HDEL000066,HORD000066,2018-10-21,2018-10-27,2018-10-26,StarTrack,Standard,Delivered,0,True,4,6.05,none,6,4,Anytime,2.3567,True,0.321,delivered within promise
HDEL000067,HORD000067,2018-10-12,2018-10-18,2018-10-16,StarTrack,Standard,Delivered,0,True,56,8.54,none,6,7,Morning,3.4859,True,0.378,delivered within promise
HDEL000068,HORD000068,2018-03-04,2018-03-09,2018-03-09,AusPost,Standard,Delivered,0,True,63,10.25,none,5,9,Anytime,6.8848,True,1.052,delivered within promise
HDEL000069,HORD000069,2018-02-17,2018-02-22,2018-02-22,StarTrack,Standard,Delivered,0,True,9,8.82,none,5,6,Morning,5.3108,True,1.199,delivered within promise
HDEL000070,HORD000070,2018-09-05,2018-09-08,2018-09-08,Direct Freight,Standard,Delivered,0,True,65,9.18,none,3,8,Anytime,4.4075,True,0.405,delivered within promise
HDEL000071,HORD000071,2018-09-20,2018-09-26,2018-09-26,StarTrack,Standard,Delivered,0,True,55,6.36,none,6,5,Afternoon,1.1475,False,0.238,delivered within promise
HDEL000072,HORD000072,2018-08-12,2018-08-19,2018-08-17,StarTrack,Standard,Delivered,0,True,72,13.84,none,7,7,Morning,7.0873,False,0.443,delivered within promise
HDEL000073,HORD000073,2018-08-06,2018-08-12,2018-08-10,Direct Freight,Standard,Delivered,0,True,59,7.77,none,6,6,Morning,0.9,True,0.74,delivered within promise
HDEL000074,HORD000074,2018-06-16,2018-06-22,2018-06-22,AusPost,Standard,Delivered,0,True,18,13.92,none,6,3,Anytime,6.8848,False,0.365,delivered within promise
HDEL000075,HORD000075,2018-05-25,2018-05-30,2018-05-30,Direct Freight,Standard,Delivered,0,True,8,8.26,none,5,7,Anytime,5.0818,True,1.03,delivered within promise
HDEL000076,HORD000076,2018-10-28,2018-11-01,2018-10-30,StarTrack,Standard,Delivered,0,True,6,7.58,none,4,9,Anytime,4.5544,False,0.349,delivered within promise
HDEL000077,HORD000077,2018-03-14,2018-03-17,2018-03-15,Direct Freight,Standard,Delivered,0,True,9,9.79,none,3,6,Morning,7.7396,True,0.535,delivered within promise
HDEL000078,HORD000078,2018-04-26,2018-05-03,2018-05-01,DHL,Standard,Delivered,0,True,63,10.92,none,7,8,Morning,6.4658,True,0.532,delivered within promise
HDEL000079,HORD000079,2018-09-24,2018-10-01,2018-09-30,Direct Freight,Standard,Delivered,0,True,41,8.01,none,7,5,Afternoon,6.0605,True,0.376,delivered within promise
HDEL000080,HORD000080,2018-11-08,2018-11-14,2018-11-12,DHL,Standard,Delivered,0,True,14,7.7,none,6,6,Anytime,4.677,True,0.565,delivered within promise
HDEL000081,HORD000081,2018-02-28,2018-03-06,2018-03-05,DHL,Standard,Delivered,0,True,28,9.02,none,6,3,Morning,2.9812,True,0.365,delivered within promise
HDEL000082,HORD000082,2018-07-18,2018-07-21,2018-07-19,AusPost,Standard,Delivered,0,True,41,10.25,none,3,3,Morning,4.5788,True,0.53,delivered within promise
HDEL000083,HORD000083,2018-09-11,2018-09-18,2018-09-18,AusPost,Standard,Delivered,0,True,42,9.67,none,7,6,Anytime,5.3613,True,0.391,delivered within promise
HDEL000084,HORD000084,2018-05-30,2018-06-04,2018-06-04,AusPost,Standard,Delivered,0,True,30,8.22,none,5,3,Anytime,3.8058,True,0.451,delivered within promise
HDEL000085,HORD000085,2018-02-02,2018-02-06,2018-02-05,AusPost,Express,Delivered,0,True,7,14.12,none,4,4,Morning,3.7942,True,0.517,delivered within promise
HDEL000086,HORD000086,2018-03-22,2018-03-29,2018-03-29,Direct Freight,Standard,Delivered,0,True,39,12.04,none,7,6,Morning,7.8955,False,0.423,delivered within promise
HDEL000087,HORD000087,2018-03-26,2018-03-30,2018-03-30,DHL,Standard,Delivered,0,True,73,7.34,none,4,3,Morning,2.4836,True,0.451,delivered within promise
HDEL000088,HORD000088,2018-09-06,2018-09-11,2018-09-10,DHL,Standard,Delivered,0,True,16,10.23,none,5,3,Anytime,8.8204,True,0.575,delivered within promise
HDEL000089,HORD000089,2018-04-05,2018-04-12,2018-04-11,StarTrack,Standard,Delivered,0,True,58,8.82,none,7,4,Afternoon,8.0606,True,0.581,delivered within promise
HDEL000090,HORD000090,2018-04-04,2018-04-09,2018-04-07,Direct Freight,Standard,Delivered,0,True,38,8.63,none,5,9,Morning,4.1904,True,0.407,delivered within promise
HDEL000091,HORD000091,2018-04-23,2018-04-28,2018-04-26,Direct Freight,Standard,Delivered,0,True,10,11.63,none,5,8,Afternoon,7.7244,True,0.487,delivered within promise
HDEL000092,HORD000092,2018-03-11,2018-03-16,2018-03-16,StarTrack,Standard,Delivered,0,True,70,7.94,none,5,5,Morning,2.9812,True,0.466,delivered within promise
HDEL000093,HORD000093,2018-05-31,2018-06-05,2018-06-05,DHL,Standard,Delivered,0,True,15,9.1,none,5,4,Anytime,3.7181,True,1.111,delivered within promise
HDEL000094,HORD000094,2018-02-26,2018-03-01,2018-03-01,Direct Freight,Standard,Delivered,0,True,54,10.53,none,3,3,Morning,6.5462,False,0.453,delivered within promise
HDEL000095,HORD000095,2018-10-02,2018-10-09,2018-10-07,DHL,Standard,Delivered,0,True,13,8.34,none,7,3,Afternoon,6.9704,True,0.49,delivered within promise
HDEL000096,HORD000096,2018-09-11,2018-09-17,2018-09-15,StarTrack,Standard,Delivered,0,True,48,9.39,none,6,9,Anytime,3.8508,True,0.396,delivered within promise
HDEL000097,HORD000097,2018-10-28,2018-11-02,2018-10-31,StarTrack,Standard,Delivered,0,True,21,10.03,none,5,6,Anytime,6.3827,True,0.467,delivered within promise
HDEL000098,HORD000098,2018-01-21,2018-01-28,2018-01-26,AusPost,Express,Delivered,0,True,25,14.89,none,7,7,Afternoon,6.3492,True,0.444,delivered within promise
HDEL000099,HORD000099,2018-03-22,2018-03-27,2018-03-26,StarTrack,Standard,Delivered,0,True,21,7.45,none,5,5,Afternoon,5.3108,False,0.355,delivered within promise
HDEL000100,HORD000100,2018-10-20,2018-10-25,2018-10-25,AusPost,Express,Delivered,0,True,62,13.36,none,5,8,Afternoon,2.8333,True,0.411,delivered within promise
HDEL000101,HORD000101,2018-08-15,2018-08-20,2018-08-20,Direct Freight,Express,Delivered,0,True,73,19.07,none,5,8,Afternoon,1.7014,True,0.297,delivered within promise
HDEL000102,HORD000102,2018-10-28,2018-10-31,2018-10-29,DHL,Standard,Delivered,0,True,23,9.31,none,3,9,Afternoon,4.0663,True,0.425,delivered within promise
HDEL000103,HORD000103,2018-03-17,2018-03-23,2018-03-23,StarTrack,Standard,Delivered,0,True,36,9.3,none,6,6,Morning,4.8046,False,0.334,delivered within promise
HDEL000104,HORD000104,2018-03-16,2018-03-22,2018-03-22,Direct Freight,Express,Delivered,0,True,47,21.5,none,6,3,Afternoon,8.0765,True,0.488,delivered within promise
HDEL000105,HORD000105,2018-08-07,2018-08-12,2018-08-11,DHL,Standard,Delivered,0,True,29,10.46,none,5,6,Morning,5.2465,False,0.326,delivered within promise
HDEL000106,HORD000106,2018-05-08,2018-05-13,2018-05-11,AusPost,Standard,Delivered,0,True,22,9.25,none,5,6,Anytime,7.4558,True,0.48,delivered within promise
HDEL000107,HORD000107,2018-07-06,2018-07-11,2018-07-11,Direct Freight,Express,Delivered,0,True,5,22.47,none,5,9,Morning,3.0741,True,0.378,delivered within promise
HDEL000108,HORD000108,2018-04-27,2018-05-02,2018-05-01,AusPost,Standard,Delivered,0,True,71,8.75,none,5,9,Morning,6.7796,True,0.388,delivered within promise
HDEL000109,HORD000109,2018-09-01,2018-09-07,2018-09-05,StarTrack,Standard,Delivered,0,True,25,9.94,none,6,3,Morning,5.4548,False,0.325,delivered within promise
HDEL000110,HORD000110,2018-01-17,2018-01-23,2018-01-21,StarTrack,Express,Delivered,0,True,72,18.3,none,6,8,Morning,6.9556,True,1.208,delivered within promise
HDEL000111,HORD000111,2018-06-09,2018-06-13,2018-06-12,DHL,Standard,Delivered,0,True,72,11.28,none,4,6,Anytime,3.3529,True,0.478,delivered within promise
HDEL000112,HORD000112,2018-05-14,2018-05-18,2018-05-17,AusPost,Standard,Delivered,0,True,66,7.93,none,4,7,Anytime,4.5581,False,1.086,delivered within promise
HDEL000113,HORD000113,2018-05-28,2018-06-03,2018-06-03,AusPost,Standard,Delivered,0,True,55,5.19,none,6,8,Anytime,1.0772,True,0.356,delivered within promise
HDEL000114,HORD000114,2018-11-12,2018-11-17,2018-11-16,StarTrack,Express,Delivered,0,True,53,15.59,none,5,6,Afternoon,2.0015,False,0.268,delivered within promise
HDEL000115,HORD000115,2018-07-15,2018-07-19,2018-07-18,Direct Freight,Standard,Delivered,0,True,30,14.1,none,4,4,Afternoon,8.5784,True,0.732,delivered within promise
HDEL000116,HORD000116,2018-12-30,2019-01-02,2018-12-31,Direct Freight,Standard,Delivered,0,True,36,11.2,none,3,8,Afternoon,7.7244,True,0.569,delivered within promise
HDEL000117,HORD000117,2018-03-18,2018-03-24,2018-03-24,StarTrack,Standard,Delivered,0,True,69,9.93,none,6,9,Morning,8.5159,True,0.681,delivered within promise
HDEL000118,HORD000118,2018-10-18,2018-10-25,2018-10-23,StarTrack,Standard,Delivered,0,True,61,8.55,none,7,3,Morning,3.7704,False,0.296,delivered within promise
HDEL000119,HORD000119,2018-08-04,2018-08-10,2018-08-08,AusPost,Standard,Delivered,0,True,25,10.19,none,6,3,Afternoon,3.5087,False,0.478,delivered within promise
HDEL000120,HORD000120,2018-04-26,2018-05-01,2018-04-30,DHL,Standard,Delivered,0,True,68,6.67,none,5,6,Anytime,3.5976,True,0.986,delivered within promise
HDEL000121,HORD000121,2018-09-11,2018-09-18,2018-09-18,StarTrack,Standard,Delivered,0,True,12,11.02,none,7,5,Afternoon,8.6168,True,0.573,delivered within promise
HDEL000122,HORD000122,2018-11-23,2018-11-27,2018-11-26,AusPost,Express,Delivered,0,True,55,16.64,none,4,7,Anytime,6.2605,True,0.375,delivered within promise
HDEL000123,HORD000123,2018-10-11,2018-10-15,2018-10-13,DHL,Standard,Delivered,0,True,65,8.12,none,4,5,Anytime,2.6653,True,1.057,delivered within promise
HDEL000124,HORD000124,2018-12-12,2018-12-15,2018-12-14,AusPost,Standard,Delivered,0,True,44,8.38,none,3,6,Afternoon,4.4676,True,1.644,delivered within promise
HDEL000125,HORD000125,2018-12-03,2018-12-10,2018-12-10,Direct Freight,Standard,Delivered,0,True,55,9.07,none,7,5,Afternoon,7.8955,True,0.534,delivered within promise
HDEL000126,HORD000126,2018-08-20,2018-08-25,2018-08-25,AusPost,Standard,Delivered,0,True,12,10.83,none,5,8,Morning,6.5568,True,0.955,delivered within promise
HDEL000127,HORD000127,2018-07-10,2018-07-16,2018-07-14,DHL,Standard,Delivered,0,True,39,13.96,none,6,9,Afternoon,7.5016,True,0.497,delivered within promise
HDEL000128,HORD000128,2018-06-17,2018-06-21,2018-06-20,Direct Freight,Express,Delivered,0,True,37,19.46,none,4,9,Morning,7.8823,True,0.903,delivered within promise
HDEL000129,HORD000129,2018-06-28,2018-07-05,2018-07-05,Direct Freight,Standard,Delivered,0,True,12,13.0,none,7,4,Afternoon,6.7102,True,0.572,delivered within promise
HDEL000130,HORD000130,2018-09-15,2018-09-20,2018-09-18,DHL,Standard,Delivered,0,True,24,9.34,none,5,9,Anytime,5.972,True,1.084,delivered within promise
HDEL000131,HORD000131,2018-05-14,2018-05-17,2018-05-16,AusPost,Standard,Delivered,0,True,53,7.55,none,3,6,Morning,2.0846,True,0.361,delivered within promise
HDEL000132,HORD000132,2018-04-27,2018-05-04,2018-05-03,AusPost,Standard,Delivered,0,True,71,12.09,none,7,5,Afternoon,8.3145,False,0.432,delivered within promise
HDEL000133,HORD000133,2018-03-10,2018-03-16,2018-03-14,Direct Freight,Standard,Delivered,0,True,27,11.27,none,6,7,Anytime,7.1087,False,0.503,delivered within promise
HDEL000134,HORD000134,2018-01-04,2018-01-08,2018-01-08,AusPost,Standard,Delivered,0,True,64,9.65,none,4,5,Afternoon,7.1568,True,0.545,delivered within promise
HDEL000135,HORD000135,2018-04-01,2018-04-07,2018-04-07,AusPost,Standard,Delivered,0,True,5,6.44,none,6,4,Afternoon,2.9449,True,1.443,delivered within promise
HDEL000136,HORD000136,2018-02-02,2018-02-06,2018-02-04,StarTrack,Standard,Delivered,0,True,49,9.87,none,4,7,Morning,4.416,True,0.978,delivered within promise
HDEL000137,HORD000137,2018-09-28,2018-10-02,2018-09-30,AusPost,Standard,Delivered,0,True,53,6.27,none,4,7,Anytime,2.5443,True,0.408,delivered within promise
HDEL000138,HORD000138,2018-10-27,2018-11-01,2018-10-30,DHL,Express,Delivered,0,True,31,17.8,none,5,4,Morning,4.4259,True,0.548,delivered within promise
HDEL000139,HORD000139,2018-03-05,2018-03-10,2018-03-08,AusPost,Express,Delivered,0,True,58,19.81,none,5,8,Anytime,7.4558,False,0.384,delivered within promise
HDEL000140,HORD000140,2018-04-11,2018-04-17,2018-04-17,StarTrack,Standard,Delivered,0,True,46,9.15,none,6,5,Afternoon,7.8766,True,0.513,delivered within promise
HDEL000141,HORD000141,2018-07-07,2018-07-14,2018-07-13,Direct Freight,Express,Delivered,0,True,62,20.01,none,7,8,Morning,6.944,True,0.436,delivered within promise
HDEL000142,HORD000142,2018-12-16,2018-12-23,2018-12-23,DHL,Standard,Delivered,0,True,18,10.96,none,7,3,Anytime,7.1652,True,0.448,delivered within promise
HDEL000143,HORD000143,2018-11-28,2018-12-01,2018-11-30,AusPost,Standard,Delivered,0,True,62,6.04,none,3,4,Anytime,2.0846,False,0.263,delivered within promise
HDEL000144,HORD000144,2018-02-13,2018-02-18,2018-02-17,AusPost,Standard,Delivered,0,True,64,8.53,none,5,5,Morning,6.3746,False,0.397,delivered within promise
HDEL000145,HORD000145,2018-06-14,2018-06-20,2018-06-21,AusPost,Standard,Delivered,1,False,62,9.24,warehouse_congestion,6,9,Afternoon,4.8879,False,0.43,carrier scan reconciled
HDEL000146,HORD000146,2018-08-07,2018-08-14,2018-08-13,AusPost,Standard,Delivered,0,True,50,9.62,none,7,3,Afternoon,2.9353,True,0.966,delivered within promise
HDEL000147,HORD000147,2018-09-14,2018-09-19,2018-09-17,DHL,Express,Delivered,0,True,8,17.95,none,5,5,Anytime,3.8216,False,0.322,delivered within promise
HDEL000148,HORD000148,2018-09-29,2018-10-06,2018-10-06,Direct Freight,Standard,Delivered,0,True,33,7.69,none,7,8,Afternoon,1.2522,False,0.944,delivered within promise
HDEL000149,HORD000149,2018-11-08,2018-11-11,2018-11-09,StarTrack,Standard,Delivered,0,True,35,10.07,none,3,7,Morning,7.1101,True,1.941,delivered within promise
HDEL000150,HORD000150,2018-07-06,2018-07-09,2018-07-08,DHL,Standard,Delivered,0,True,26,13.25,none,3,8,Anytime,5.9533,True,0.405,delivered within promise
HDEL000151,HORD000151,2018-04-23,2018-04-28,2018-04-26,DHL,Standard,Delivered,0,True,6,7.09,none,5,4,Anytime,4.5544,True,1.045,delivered within promise
HDEL000152,HORD000152,2018-05-06,2018-05-10,2018-05-09,StarTrack,Standard,Delivered,0,True,8,7.22,none,4,8,Anytime,5.1954,True,0.404,delivered within promise
HDEL000153,HORD000153,2018-08-20,2018-08-26,2018-08-25,Direct Freight,Standard,Delivered,0,True,5,12.64,none,6,3,Anytime,4.7472,True,0.637,delivered within promise
HDEL000154,HORD000154,2018-05-20,2018-05-26,2018-05-24,Direct Freight,Express,Delivered,0,True,25,20.56,none,6,3,Afternoon,6.8577,True,0.501,delivered within promise
HDEL000155,HORD000155,2018-01-15,2018-01-20,2018-01-19,StarTrack,Standard,Delivered,0,True,24,8.1,none,5,3,Afternoon,2.8697,False,0.331,delivered within promise
HDEL000156,HORD000156,2018-01-04,2018-01-07,2018-01-07,DHL,Standard,Delivered,0,True,27,8.67,none,3,3,Afternoon,5.4295,True,0.435,delivered within promise
HDEL000157,HORD000157,2018-08-02,2018-08-09,2018-08-07,Direct Freight,Standard,Delivered,0,True,33,13.56,none,7,7,Morning,6.3827,True,1.037,delivered within promise
