order_id,source_system_record_id,customer_id,order_timestamp,sales_channel,payment_method,currency,nearest_warehouse,order_status,order_price,delivery_charges,coupon_code,coupon_discount,tax_amount,order_total,season,expedited_delivery,customer_lat,customer_long,device_type,referral_source,customer_note_clean,promo_code
HORD000012,SRC-050-H-000012,CUS00448,2018-01-07 19:20:00,Web,PayPal,AUD,Bakers,Completed,3204.28,12.67,NaN,0.0,291.3,3216.95,Summer,False,-37.849798,145.052007,Tablet,Paid Search,please leave at reception,NaN
HORD000013,SRC-050-H-000013,CUS00137,2018-07-23 18:58:00,Mobile,PayPal,AUD,Bakers,Completed,3191.86,11.72,NaN,5.0,290.17,3043.99,Winter,False,-37.792121,144.999204,Desktop,Referral,please leave at reception,NaN
HORD000014,SRC-050-H-000014,CUS00318,2018-03-28 19:31:00,Store,Gift Card,AUD,Bakers,Completed,3848.45,10.43,NaN,10.0,349.86,3474.04,Autumn,False,-37.771554,145.006868,Tablet,Store,please use minimal packaging,NaN
HORD000015,SRC-050-H-000015,CUS00325,2018-08-22 08:20:00,Store,Card,AUD,Nickolson,Completed,4506.64,14.17,NaN,0.0,409.69,4520.81,Winter,False,-37.861366,144.956017,Tablet,Organic,please leave at reception,NaN
HORD000016,SRC-050-H-000016,CUS00211,2018-07-23 14:01:00,Mobile,Gift Card,AUD,Bakers,Completed,3860.36,12.57,NaN,5.0,350.94,3679.91,Winter,False,-37.782928,144.99887,Desktop,Referral,gift purchase for a family member,NaN
HORD000017,SRC-050-H-000017,CUS00458,2018-03-18 08:13:00,Web,Gift Card,AUD,Thompson,Completed,4546.6,10.29,NaN,0.0,413.33,4556.89,Autumn,False,-37.776459,144.932944,Tablet,Referral,please use minimal packaging,NaN
HORD000018,SRC-050-H-000018,CUS00144,2018-03-20 18:05:00,Store,Card,AUD,Bakers,Completed,1797.41,14.35,NaN,0.0,163.4,1811.76,Autumn,False,-37.874585,145.064657,Desktop,Referral,gift purchase for a family member,NaN
HORD000019,SRC-050-H-000019,CUS00481,2018-10-16 19:59:00,Store,PayPal,AUD,Thompson,Completed,1010.09,9.36,B3SAVE-28,15.0,91.83,867.94,Spring,False,-37.833382,144.934527,Tablet,Social,call before delivery,B3SAVE-28
HORD000020,SRC-050-H-000020,CUS00344,2018-01-18 11:55:00,Mobile,Gift Card,AUD,Thompson,Completed,125.16,12.86,NaN,0.0,11.38,138.02,Summer,False,-37.76877,144.89087,Desktop,Social,please leave at reception,NaN
HORD000021,SRC-050-H-000021,CUS00014,2018-05-29 11:35:00,Mobile,Card,AUD,Bakers,Completed,2732.55,9.79,B3SAVE-30,15.0,248.41,2332.46,Autumn,False,-37.831912,145.02503,Desktop,Paid Search,call before delivery,B3SAVE-30
HORD000022,SRC-050-H-000022,CUS00455,2018-06-06 19:19:00,Mobile,Gift Card,AUD,Bakers,Completed,2620.14,10.71,B3SAVE-31,15.0,238.19,2237.83,Winter,False,-37.810753,144.985706,Desktop,Paid Search,please use minimal packaging,B3SAVE-31
HORD000023,SRC-050-H-000023,CUS00136,2018-05-06 14:58:00,Mobile,Gift Card,AUD,Thompson,Completed,10204.3,10.67,B3SAVE-32,15.0,927.66,8684.32,Autumn,False,-37.853442,144.932769,Mobile,Organic,please leave at reception,B3SAVE-32
HORD000024,SRC-050-H-000024,CUS00423,2018-12-17 17:52:00,Web,PayPal,AUD,Thompson,Completed,2276.53,21.49,NaN,5.0,206.96,2184.19,Summer,True,-37.838255,144.900387,Tablet,Paid Search,gift purchase for a family member,NaN
HORD000025,SRC-050-H-000025,CUS00208,2018-12-17 15:36:00,Web,Card,AUD,Bakers,Completed,1739.34,11.62,B3SAVE-34,20.0,158.12,1403.09,Summer,False,-37.763455,144.996604,Tablet,Referral,please leave at reception,B3SAVE-34
HORD000026,SRC-050-H-000026,CUS00342,2018-09-09 17:42:00,Store,Bank Transfer,AUD,Nickolson,Completed,2639.2,12.19,NaN,5.0,239.93,2519.43,Spring,False,-37.871528,144.998954,Mobile,Social,please use minimal packaging,NaN
HORD000027,SRC-050-H-000027,CUS00294,2018-12-27 09:51:00,Web,PayPal,AUD,Bakers,Completed,2549.9,12.2,NaN,5.0,231.81,2434.6,Summer,False,-37.75641,144.987611,Tablet,Referral,please use minimal packaging,NaN
HORD000028,SRC-050-H-000028,CUS00005,2018-02-19 19:02:00,Store,Card,AUD,Bakers,Completed,1347.91,22.59,NaN,10.0,122.54,1235.71,Summer,True,-37.857188,145.039874,Mobile,Organic,no special instruction,NaN
HORD000029,SRC-050-H-000029,CUS00336,2018-05-28 18:22:00,Store,PayPal,AUD,Thompson,Completed,4294.27,8.24,B3SAVE-38,15.0,390.39,3658.37,Autumn,False,-37.801628,144.958554,Desktop,Referral,please use minimal packaging,B3SAVE-38
HORD000030,SRC-050-H-000030,CUS00220,2018-09-09 20:17:00,Web,Gift Card,AUD,Thompson,Completed,1326.04,13.38,NaN,10.0,120.55,1206.82,Spring,False,-37.745466,144.912695,Mobile,Organic,call before delivery,NaN
HORD000031,SRC-050-H-000031,CUS00282,2018-02-22 18:50:00,Store,Gift Card,AUD,Bakers,Completed,3692.38,20.52,B3SAVE-40,20.0,335.67,2974.42,Summer,True,-37.786895,145.023865,Desktop,Paid Search,please use minimal packaging,B3SAVE-40
HORD000032,SRC-050-H-000032,CUS00271,2018-03-12 14:51:00,Web,Card,AUD,Nickolson,Completed,2183.42,12.49,B3SAVE-41,15.0,198.49,1868.4,Autumn,False,-37.88153,144.977443,Mobile,Organic,gift purchase for a family member,B3SAVE-41
HORD000033,SRC-050-H-000033,CUS00009,2018-12-05 21:08:00,Mobile,Gift Card,AUD,Bakers,Completed,2995.19,12.93,NaN,0.0,272.29,3008.12,Summer,False,-37.860289,145.043908,Mobile,Store,gift purchase for a family member,NaN
HORD000034,SRC-050-H-000034,CUS00248,2018-09-29 15:11:00,Mobile,PayPal,AUD,Bakers,Completed,731.08,23.11,B3SAVE-43,20.0,66.46,607.97,Spring,True,-37.754002,145.031639,Mobile,Store,please leave at reception,B3SAVE-43
HORD000035,SRC-050-H-000035,CUS00213,2018-07-23 11:55:00,Mobile,PayPal,AUD,Bakers,Completed,2253.94,14.34,NaN,5.0,204.9,2155.58,Winter,False,-37.765065,145.007015,Mobile,Organic,call before delivery,NaN
HORD000036,SRC-050-H-000036,CUS00046,2018-08-29 16:41:00,Mobile,Gift Card,AUD,Bakers,Completed,3371.86,12.69,NaN,0.0,306.53,3384.55,Winter,False,-37.793288,145.02435,Mobile,Social,please use minimal packaging,NaN
HORD000037,SRC-050-H-000037,CUS00049,2018-10-27 18:01:00,Store,Card,AUD,Bakers,Completed,2489.42,10.53,NaN,5.0,226.31,2375.48,Spring,False,-37.838467,145.025866,Mobile,Organic,please leave at reception,NaN
HORD000038,SRC-050-H-000038,CUS00454,2018-06-25 10:03:00,Web,Card,AUD,Nickolson,Completed,2645.69,12.08,NaN,0.0,240.52,2657.77,Winter,False,-37.839636,144.977611,Mobile,Store,please leave at reception,NaN
HORD000039,SRC-050-H-000039,CUS00299,2018-11-09 13:06:00,Store,PayPal,AUD,Thompson,Completed,4770.02,10.29,B3SAVE-48,15.0,433.64,4064.81,Spring,False,-37.842403,144.925239,Desktop,Paid Search,call before delivery,B3SAVE-48
HORD000040,SRC-050-H-000040,CUS00360,2018-06-20 17:25:00,Mobile,PayPal,AUD,Thompson,Completed,1671.23,12.95,B3SAVE-49,15.0,151.93,1433.5,Winter,False,-37.824825,144.91065,Mobile,Organic,call before delivery,B3SAVE-49
HORD000041,SRC-050-H-000041,CUS00263,2018-01-18 12:27:00,Web,Bank Transfer,AUD,Bakers,Completed,1935.0,9.12,NaN,0.0,175.91,1944.12,Summer,False,-37.800478,144.981668,Tablet,Store,no special instruction,NaN
HORD000042,SRC-050-H-000042,CUS00424,2018-08-19 16:42:00,Web,Gift Card,AUD,Nickolson,Completed,4720.63,14.7,B3SAVE-51,15.0,429.15,4027.24,Winter,False,-37.86345,144.996648,Mobile,Social,no special instruction,B3SAVE-51
HORD000043,SRC-050-H-000043,CUS00370,2018-02-17 15:49:00,Store,Gift Card,AUD,Thompson,Completed,1363.69,9.6,NaN,10.0,123.97,1236.92,Summer,False,-37.833259,144.945581,Desktop,Referral,please use minimal packaging,NaN
HORD000044,SRC-050-H-000044,CUS00297,2018-10-29 20:56:00,Store,PayPal,AUD,Thompson,Completed,503.62,9.66,NaN,10.0,45.78,462.92,Spring,False,-37.813187,144.913347,Desktop,Referral,call before delivery,NaN
HORD000045,SRC-050-H-000045,CUS00221,2018-05-24 16:37:00,Web,Bank Transfer,AUD,Thompson,Completed,3557.58,7.81,NaN,10.0,323.42,3209.63,Autumn,False,-37.817049,144.95751,Tablet,Referral,gift purchase for a family member,NaN
HORD000046,SRC-050-H-000046,CUS00256,2018-10-05 13:52:00,Mobile,PayPal,AUD,Thompson,Completed,2746.58,14.59,NaN,0.0,249.69,2761.17,Spring,False,-37.887039,144.889011,Tablet,Organic,please leave at reception,NaN
HORD000047,SRC-050-H-000047,CUS00254,2018-05-22 17:55:00,Web,Bank Transfer,AUD,Nickolson,Completed,535.34,24.14,B3SAVE-56,15.0,48.67,479.18,Autumn,True,-37.888413,144.984703,Tablet,Paid Search,gift purchase for a family member,B3SAVE-56
HORD000048,SRC-050-H-000048,CUS00183,2018-09-14 15:32:00,Mobile,Card,AUD,Bakers,Completed,1392.45,10.58,NaN,10.0,126.59,1263.79,Spring,False,-37.795709,145.03979,Tablet,Organic,no special instruction,NaN
HORD000049,SRC-050-H-000049,CUS00155,2018-11-30 21:38:00,Mobile,PayPal,AUD,Bakers,Completed,1382.61,11.29,NaN,0.0,125.69,1393.9,Spring,False,-37.766387,145.016479,Desktop,Store,please leave at reception,NaN
HORD000050,SRC-050-H-000050,CUS00239,2018-10-12 09:41:00,Mobile,Card,AUD,Thompson,Completed,3964.11,22.58,NaN,0.0,360.37,3986.69,Spring,True,-37.863486,144.916158,Desktop,Organic,gift purchase for a family member,NaN
HORD000051,SRC-050-H-000051,CUS00396,2018-07-04 18:55:00,Mobile,Card,AUD,Thompson,Completed,5293.91,26.95,NaN,5.0,481.26,5056.16,Winter,True,-37.83313,144.900943,Tablet,Paid Search,no special instruction,NaN
HORD000052,SRC-050-H-000052,CUS00436,2018-12-30 21:11:00,Web,Bank Transfer,AUD,Bakers,Completed,6126.03,12.38,NaN,10.0,556.91,5525.81,Summer,False,-37.767228,145.041566,Mobile,Social,gift purchase for a family member,NaN
HORD000053,SRC-050-H-000053,CUS00040,2018-02-14 09:29:00,Mobile,Gift Card,AUD,Thompson,Completed,5475.92,12.21,B3SAVE-62,15.0,497.81,4666.74,Summer,False,-37.832409,144.88336,Tablet,Paid Search,please leave at reception,B3SAVE-62
HORD000054,SRC-050-H-000054,CUS00099,2018-10-11 11:23:00,Web,Card,AUD,Bakers,Completed,1489.15,9.88,NaN,0.0,135.38,1499.03,Spring,False,-37.831395,145.020659,Mobile,Paid Search,no special instruction,NaN
HORD000055,SRC-050-H-000055,CUS00390,2018-07-26 21:23:00,Web,PayPal,AUD,Thompson,Completed,2804.88,14.83,B3SAVE-64,15.0,254.99,2398.98,Winter,False,-37.767285,144.917255,Tablet,Organic,please leave at reception,B3SAVE-64
HORD000056,SRC-050-H-000056,CUS00292,2018-09-25 11:41:00,Store,PayPal,AUD,Thompson,Completed,9015.05,8.74,B3SAVE-65,20.0,819.55,7220.78,Spring,False,-37.805139,144.930212,Mobile,Organic,please leave at reception,B3SAVE-65
HORD000057,SRC-050-H-000057,CUS00481,2018-11-14 09:10:00,Mobile,Bank Transfer,AUD,Thompson,Completed,2198.04,19.86,B3SAVE-66,20.0,199.82,1778.29,Spring,True,-37.833382,144.934527,Tablet,Social,gift purchase for a family member,B3SAVE-66
HORD000058,SRC-050-H-000058,CUS00031,2018-05-16 13:32:00,Web,Gift Card,AUD,Thompson,Completed,3589.5,20.51,NaN,5.0,326.32,3430.54,Autumn,True,-37.784245,144.954004,Desktop,Organic,please leave at reception,NaN
HORD000059,SRC-050-H-000059,CUS00418,2018-05-17 16:54:00,Mobile,Bank Transfer,AUD,Thompson,Completed,3000.01,13.54,NaN,10.0,272.73,2713.55,Autumn,False,-37.740012,144.921398,Desktop,Organic,please use minimal packaging,NaN
HORD000060,SRC-050-H-000060,CUS00077,2018-07-08 16:02:00,Store,PayPal,AUD,Thompson,Completed,7709.21,13.98,NaN,10.0,700.84,6952.27,Winter,False,-37.848965,144.920151,Mobile,Store,no special instruction,NaN
HORD000061,SRC-050-H-000061,CUS00435,2018-03-24 18:01:00,Mobile,Bank Transfer,AUD,Bakers,Completed,1438.71,24.49,NaN,10.0,130.79,1319.33,Autumn,True,-37.739615,145.027179,Desktop,Organic,please leave at reception,NaN
HORD000062,SRC-050-H-000062,CUS00052,2018-09-18 17:20:00,Mobile,PayPal,AUD,Bakers,Completed,2370.94,13.26,NaN,10.0,215.54,2147.11,Spring,False,-37.742127,144.968825,Mobile,Referral,call before delivery,NaN
HORD000063,SRC-050-H-000063,CUS00496,2018-04-04 19:56:00,Web,Card,AUD,Nickolson,Completed,2514.17,7.84,NaN,10.0,228.56,2270.59,Autumn,False,-37.809305,144.96609,Tablet,Social,please leave at reception,NaN
HORD000064,SRC-050-H-000064,CUS00439,2018-04-15 19:56:00,Web,Card,AUD,Thompson,Completed,6081.67,9.36,NaN,10.0,552.88,5482.86,Autumn,False,-37.785457,144.948244,Desktop,Referral,no special instruction,NaN
HORD000065,SRC-050-H-000065,CUS00311,2018-11-25 20:09:00,Mobile,Bank Transfer,AUD,Thompson,Completed,1184.49,13.75,B3SAVE-74,15.0,107.68,1020.57,Spring,False,-37.756152,144.880863,Tablet,Referral,call before delivery,B3SAVE-74
HORD000066,SRC-050-H-000066,CUS00465,2018-10-21 14:21:00,Web,Card,AUD,Thompson,Completed,2646.32,9.22,NaN,0.0,240.57,2655.54,Spring,False,-37.833799,144.94492,Mobile,Paid Search,please use minimal packaging,NaN
HORD000067,SRC-050-H-000067,CUS00105,2018-10-10 11:50:00,Store,PayPal,AUD,Thompson,Completed,2570.54,10.04,NaN,0.0,233.69,2580.58,Spring,False,-37.823185,144.909682,Tablet,Store,please leave at reception,NaN
HORD000068,SRC-050-H-000068,CUS00091,2018-03-01 16:48:00,Mobile,Card,AUD,Bakers,Completed,4801.04,12.37,NaN,10.0,436.46,4333.31,Autumn,False,-37.864461,145.03252,Tablet,Paid Search,please use minimal packaging,NaN
HORD000069,SRC-050-H-000069,CUS00097,2018-02-17 13:36:00,Mobile,Bank Transfer,AUD,Nickolson,Completed,2119.81,11.72,NaN,5.0,192.71,2025.54,Summer,False,-37.86522,144.982665,Desktop,Paid Search,please leave at reception,NaN
HORD000070,SRC-050-H-000070,CUS00429,2018-09-02 12:25:00,Web,Gift Card,AUD,Thompson,Completed,4303.55,10.72,B3SAVE-79,15.0,391.23,3668.74,Spring,False,-37.837044,144.907494,Tablet,Referral,no special instruction,B3SAVE-79
HORD000071,SRC-050-H-000071,CUS00402,2018-09-17 18:40:00,Mobile,PayPal,AUD,Bakers,Completed,173.83,8.34,B3SAVE-80,15.0,15.8,156.1,Spring,False,-37.80005,144.991747,Desktop,Organic,please leave at reception,B3SAVE-80
HORD000072,SRC-050-H-000072,CUS00278,2018-08-09 17:56:00,Mobile,PayPal,AUD,Bakers,Completed,761.61,16.02,NaN,0.0,69.24,777.63,Winter,False,-37.854465,145.053045,Mobile,Paid Search,please leave at reception,NaN
HORD000073,SRC-050-H-000073,CUS00321,2018-08-03 15:11:00,Web,Bank Transfer,AUD,Nickolson,Completed,1998.56,10.76,NaN,0.0,181.69,2009.32,Winter,False,-37.822725,144.978363,Mobile,Paid Search,please leave at reception,NaN
HORD000074,SRC-050-H-000074,CUS00091,2018-06-15 17:36:00,Web,PayPal,AUD,Bakers,Completed,175.0,15.85,NaN,0.0,15.91,190.85,Winter,False,-37.864461,145.03252,Tablet,Paid Search,call before delivery,NaN
HORD000075,SRC-050-H-000075,CUS00414,2018-05-25 10:09:00,Mobile,Gift Card,AUD,Thompson,Completed,4155.43,10.96,B3SAVE-84,25.0,377.77,3127.53,Autumn,False,-37.767072,144.94324,Mobile,Referral,please use minimal packaging,B3SAVE-84
HORD000076,SRC-050-H-000076,CUS00269,2018-10-28 14:45:00,Mobile,Card,AUD,Bakers,Completed,908.96,10.82,NaN,10.0,82.63,828.88,Spring,False,-37.769765,145.004959,Desktop,Store,no special instruction,NaN
HORD000077,SRC-050-H-000077,CUS00387,2018-03-14 09:46:00,Store,PayPal,AUD,Bakers,Completed,2291.92,13.04,NaN,5.0,208.36,2190.36,Autumn,False,-37.740588,145.001836,Tablet,Paid Search,no special instruction,NaN
HORD000078,SRC-050-H-000078,CUS00059,2018-04-23 16:37:00,Mobile,Gift Card,AUD,Nickolson,Completed,4096.01,12.04,NaN,0.0,372.36,4108.05,Autumn,False,-37.876575,144.975152,Tablet,Store,call before delivery,NaN
HORD000079,SRC-050-H-000079,CUS00011,2018-09-22 18:58:00,Mobile,Card,AUD,Nickolson,Completed,3212.67,11.92,NaN,5.0,292.06,3063.96,Spring,False,-37.864207,145.007331,Desktop,Referral,no special instruction,NaN
HORD000080,SRC-050-H-000080,CUS00077,2018-11-07 16:13:00,Store,Gift Card,AUD,Thompson,Completed,3303.97,10.91,NaN,0.0,300.36,3314.88,Spring,False,-37.848965,144.920151,Mobile,Store,please leave at reception,NaN
HORD000081,SRC-050-H-000081,CUS00359,2018-02-27 12:08:00,Web,Gift Card,AUD,Nickolson,Completed,1816.96,10.09,NaN,10.0,165.18,1645.35,Summer,False,-37.844144,144.959262,Desktop,Referral,call before delivery,NaN
HORD000082,SRC-050-H-000082,CUS00338,2018-07-16 14:44:00,Mobile,Bank Transfer,AUD,Nickolson,Completed,3111.38,13.89,NaN,5.0,282.85,2969.7,Winter,False,-37.859759,144.968204,Desktop,Organic,please leave at reception,NaN
HORD000083,SRC-050-H-000083,CUS00363,2018-09-09 11:47:00,Web,Gift Card,AUD,Nickolson,Completed,1918.86,11.41,NaN,10.0,174.44,1738.38,Spring,False,-37.866312,144.978308,Desktop,Organic,gift purchase for a family member,NaN
HORD000084,SRC-050-H-000084,CUS00320,2018-05-28 20:04:00,Store,Bank Transfer,AUD,Bakers,Completed,6579.74,9.97,B3SAVE-13,20.0,598.16,5273.76,Autumn,False,-37.827835,145.032209,Mobile,Referral,please use minimal packaging,B3SAVE-13
HORD000085,SRC-050-H-000085,CUS00057,2018-02-02 08:59:00,Store,Gift Card,AUD,Thompson,Completed,6258.41,20.66,NaN,0.0,568.95,6279.07,Summer,True,-37.836818,144.916545,Tablet,Paid Search,call before delivery,NaN
HORD000086,SRC-050-H-000086,CUS00052,2018-03-20 09:09:00,Web,PayPal,AUD,Bakers,Completed,1647.66,13.16,NaN,10.0,149.79,1496.05,Autumn,False,-37.742127,144.968825,Mobile,Referral,please leave at reception,NaN
HORD000087,SRC-050-H-000087,CUS00106,2018-03-23 13:31:00,Store,Bank Transfer,AUD,Bakers,Completed,2352.14,8.94,NaN,0.0,213.83,2361.08,Autumn,False,-37.825983,145.014977,Mobile,Referral,gift purchase for a family member,NaN
HORD000088,SRC-050-H-000088,CUS00100,2018-09-05 17:57:00,Store,Card,AUD,Bakers,Completed,3369.25,13.94,NaN,5.0,306.3,3214.73,Spring,False,-37.751981,145.063679,Mobile,Organic,no special instruction,NaN
HORD000089,SRC-050-H-000089,CUS00220,2018-04-02 14:40:00,Mobile,Card,AUD,Thompson,Completed,4086.62,13.29,NaN,0.0,371.51,4099.91,Autumn,False,-37.745466,144.912695,Mobile,Organic,please use minimal packaging,NaN
HORD000090,SRC-050-H-000090,CUS00333,2018-04-02 12:21:00,Store,Gift Card,AUD,Bakers,Completed,5902.68,10.27,NaN,10.0,536.61,5322.68,Autumn,False,-37.774733,144.97841,Desktop,Store,please leave at reception,NaN
HORD000091,SRC-050-H-000091,CUS00379,2018-04-22 14:33:00,Store,Gift Card,AUD,Nickolson,Completed,3791.89,13.03,NaN,10.0,344.72,3425.73,Autumn,False,-37.881917,144.933373,Mobile,Social,no special instruction,NaN
HORD000092,SRC-050-H-000092,CUS00359,2018-03-08 21:11:00,Store,Bank Transfer,AUD,Nickolson,Completed,3902.8,9.33,NaN,5.0,354.8,3716.99,Autumn,False,-37.844144,144.959262,Desktop,Referral,please use minimal packaging,NaN
HORD000093,SRC-050-H-000093,CUS00412,2018-05-30 10:58:00,Mobile,Bank Transfer,AUD,Bakers,Completed,2744.41,9.9,B3SAVE-22,15.0,249.49,2342.65,Autumn,False,-37.777006,145.002132,Mobile,Referral,please use minimal packaging,B3SAVE-22
HORD000094,SRC-050-H-000094,CUS00265,2018-02-24 13:19:00,Web,PayPal,AUD,Thompson,Completed,889.33,12.58,B3SAVE-23,25.0,80.85,679.58,Summer,False,-37.846091,144.885706,Tablet,Social,please use minimal packaging,B3SAVE-23
HORD000095,SRC-050-H-000095,CUS00470,2018-10-01 13:37:00,Mobile,Card,AUD,Bakers,Completed,3061.19,12.59,NaN,0.0,278.29,3073.78,Spring,False,-37.748203,144.981889,Tablet,Referral,call before delivery,NaN
HORD000096,SRC-050-H-000096,CUS00185,2018-09-09 17:14:00,Store,Bank Transfer,AUD,Nickolson,Completed,2535.73,10.31,B3SAVE-25,20.0,230.52,2038.89,Spring,False,-37.852567,144.978067,Desktop,Organic,please use minimal packaging,B3SAVE-25
HORD000097,SRC-050-H-000097,CUS00222,2018-10-27 17:07:00,Web,Bank Transfer,AUD,Thompson,Completed,2557.46,12.16,NaN,0.0,232.5,2569.62,Spring,False,-37.825206,144.876158,Tablet,Organic,please use minimal packaging,NaN
HORD000098,SRC-050-H-000098,CUS00316,2018-01-20 17:09:00,Mobile,PayPal,AUD,Thompson,Completed,3305.91,22.44,B3SAVE-27,25.0,300.54,2501.87,Summer,True,-37.856186,144.900256,Tablet,Referral,no special instruction,B3SAVE-27
HORD000099,SRC-050-H-000099,CUS00097,2018-03-21 21:59:00,Web,Gift Card,AUD,Nickolson,Completed,849.4,11.14,B3SAVE-28,15.0,77.22,733.13,Autumn,False,-37.86522,144.982665,Desktop,Paid Search,call before delivery,B3SAVE-28
HORD000100,SRC-050-H-000100,CUS00240,2018-10-17 14:05:00,Mobile,Card,AUD,Nickolson,Completed,2447.67,20.07,NaN,5.0,222.52,2345.36,Spring,True,-37.839156,144.988605,Tablet,Paid Search,no special instruction,NaN
HORD000101,SRC-050-H-000101,CUS00292,2018-08-12 14:56:00,Store,Gift Card,AUD,Thompson,Completed,1838.9,24.45,B3SAVE-30,20.0,167.17,1495.57,Winter,True,-37.805139,144.930212,Mobile,Organic,please use minimal packaging,B3SAVE-30
HORD000102,SRC-050-H-000102,CUS00159,2018-10-27 10:24:00,Store,Bank Transfer,AUD,Bakers,Completed,4002.72,10.47,NaN,5.0,363.88,3813.05,Spring,False,-37.783369,145.026953,Tablet,Organic,please leave at reception,NaN
HORD000103,SRC-050-H-000103,CUS00073,2018-03-16 10:21:00,Store,Bank Transfer,AUD,Thompson,Completed,1046.74,10.75,NaN,0.0,95.16,1057.49,Autumn,False,-37.837722,144.902497,Desktop,Organic,please use minimal packaging,NaN
HORD000104,SRC-050-H-000104,CUS00015,2018-03-14 11:30:00,Store,Card,AUD,Bakers,Completed,2736.23,24.3,B3SAVE-33,20.0,248.75,2213.28,Autumn,True,-37.862984,145.058134,Desktop,Paid Search,call before delivery,B3SAVE-33
HORD000105,SRC-050-H-000105,CUS00351,2018-08-06 18:38:00,Web,Bank Transfer,AUD,Thompson,Completed,327.53,14.46,B3SAVE-34,15.0,29.78,292.86,Winter,False,-37.799418,144.889755,Desktop,Referral,please leave at reception,B3SAVE-34
HORD000106,SRC-050-H-000106,CUS00132,2018-05-07 18:54:00,Store,Bank Transfer,AUD,Nickolson,Completed,3868.78,12.82,NaN,10.0,351.71,3494.72,Autumn,False,-37.883913,144.988738,Desktop,Organic,call before delivery,NaN
HORD000107,SRC-050-H-000107,CUS00152,2018-07-05 21:25:00,Web,Gift Card,AUD,Bakers,Completed,3073.11,25.61,NaN,10.0,279.37,2791.41,Winter,True,-37.808056,145.030138,Tablet,Referral,please use minimal packaging,NaN
HORD000108,SRC-050-H-000108,CUS00347,2018-04-24 08:26:00,Mobile,Gift Card,AUD,Bakers,Completed,2204.95,12.29,B3SAVE-37,20.0,200.45,1776.25,Autumn,False,-37.845337,145.058133,Desktop,Organic,no special instruction,B3SAVE-37
HORD000109,SRC-050-H-000109,CUS00092,2018-08-31 12:08:00,Web,Card,AUD,Bakers,Completed,814.49,14.64,NaN,10.0,74.04,747.68,Winter,False,-37.833268,145.049901,Tablet,Paid Search,please use minimal packaging,NaN
