gender,income,whatIsYourHeightExpressItAsANumberInMetresM,doYouFeelASenseOfPurposeAndMeaningInYourLife104,howDoYouReconcileSpiritualBeliefsWithScientificOrRationalThinki,howOftenDoYouFeelSociallyConnectedWithYourPeersAndFriends,doYouHaveASupportSystemOfFriendsAndFamilyToTurnToWhenNeeded,howOftenDoYouParticipateInSocialActivitiesIncludingClubsSportsV,doYouFeelComfortableEngagingInConversationsWithPeopleFromDiffer,doYouFeelASenseOfPurposeAndMeaningInYourLife105,alwaysStressed,alwaysAccountableAndResponsibleForYourActions,alwaysCalm,myBodyIsHypermobileAndLovesToMove,alwaysHaveFun,alwaysSerious,alwaysDepressed,alwaysLoveAndCareForYourself,extremelyGoodAbilityToSense,alwaysHaveDigestiveProblems,iAmIntenselyInterestedInOtherPeople,iRarelyWakeUpFeelingRested,iFindMostThingsAmusing,iAmAlwaysCommittedAndInvolved,iDoNotThinkThatTheWorldIsAGoodPlace,iAmWellSatisfiedAboutEverythingInMyLife,iFindBeautyInSomeThings,iAlwaysHaveACheerfulEffectOnOthers,iFeelThatIAmNotEspeciallyInControlOfMyLife,iUsuallyHaveAGoodInfluenceOnEvents,iDontHaveFunWithOtherPeople,alwaysEngageInPreparingAndUsingYourSkillsAndTalentsInOrderToGai,alwaysMakingProgress,extremelyGoodCommunicator,iDontFeelParticularlyPleasedWithTheWayIAm,iFeelThatLifeIsVeryRewarding,iHaveVeryWarmFeelingsTowardsAlmostEveryone,iAmNotParticularlyOptimisticAboutTheFuture,lifeIsGood,iLaughALot,iDontThinkILookAttractive,happiness
Female,0 - 10k,165 - 170,Yes,They complement each other,Sometimes,"Yes, I have both",At least once a month,Sometimes,Yes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-6.3886
Female,120k - 150k,150 - 155,Yes,They complement each other,Rarely,"Yes, I have family",At least once a month,Sometimes,Yes,-1,1,2,2,1,-1,-2,2,2,-1,2,-1,1,-2,-2,2,1,0,-2,0,-2,2,2,1,0,1,0,-2,1,1,-1,1.85639
Female,10k - 15k,165 - 170,Yes,They conflict,Never,"Yes, I have both",At least once a month,Always,Yes,-1,1,0,1,1,-2,-1,-2,2,0,1,0,1,0,0,1,1,2,-1,2,-2,-2,1,1,-2,1,1,-1,1,0,-1,3.16271
Male,0 - 10k,150 - 155,Yes,They are separate,Sometimes,"Yes, I have friends",More than three times a week,Sometimes,Yes,-2,0,-2,-2,-2,0,-2,-2,-2,-2,1,0,-1,-2,-2,-1,-1,0,-2,1,-2,0,-2,-2,1,0,-1,-2,0,-2,-1,-18.2218
Female,150k - 200k,170 - 175,Yes,They complement each other,Never,"Yes, I have family",At least once a month,Sometimes,Yes,-2,0,-2,0,0,0,-2,0,-2,-1,1,0,-1,0,1,0,-1,0,-1,-2,0,-2,-2,1,-1,0,-1,-1,0,-2,0,-10.3496
Female,0 - 10k,160 - 165,Yes,They complement each other,Always,"Yes, I have both",At least once a week,Always,Yes,-1,1,-1,0,1,1,-1,2,0,-1,0,-1,1,1,-1,1,1,1,0,1,-1,2,1,1,-1,1,1,-1,2,1,-1,-3.41804
Female,15k - 20k,150 - 155,Yes,They complement each other,Sometimes,"Yes, I have both",More than three times a week,Always,Yes,0,1,1,1,1,-2,-1,1,2,0,0,-2,1,1,-1,0,0,1,0,0,-1,1,1,2,1,2,1,-2,2,1,2,6.87042
Male,80k - 120k,165 - 170,Yes,They complement each other,Always,"Yes, I have family",At least once a week,Sometimes,No,1,1,0,1,0,1,0,0,2,-2,1,1,2,0,1,-1,0,-1,0,0,-1,1,0,1,0,-1,-1,-1,-1,2,0,27.2294
Male,120k - 150k,160 - 165,Yes,They complement each other,Rarely,"Yes, I have both",At least once a week,Rarely,Yes,-1,1,0,1,-2,-1,-1,-2,-2,-1,0,0,0,-2,-2,-2,2,0,0,0,0,0,1,0,-2,-2,-2,0,1,-2,-2,-1.20127
Male,120k - 150k,165 - 170,Yes,They complement each other,Sometimes,No,At least once a month,Rarely,No,-2,1,0,0,0,2,0,-2,0,1,1,0,1,1,0,0,1,0,-2,0,-2,0,1,0,-2,-2,1,0,0,1,-2,6.28894
Female,80k - 120k,150 - 155,Yes,They conflict,Rarely,No,At least once a week,Always,No,0,2,1,1,0,1,-2,1,1,1,-2,0,-1,2,1,1,2,-2,1,2,-1,2,2,1,0,1,2,-1,1,-2,0,27.5981
Male,80k - 120k,160 - 165,Yes,They are separate,Never,No,At least once a month,Rarely,No,-1,0,2,0,2,1,0,0,1,-1,1,-2,2,1,0,0,0,0,-2,0,-2,0,-2,0,0,0,0,0,0,2,0,23.6489
Male,200k above,165 - 170,Yes,They complement each other,Rarely,"Yes, I have both",Rarely,Always,No,1,1,-1,0,-2,-1,-2,-1,0,1,0,1,-1,0,2,-2,1,-1,1,-2,1,-2,1,2,1,0,-2,1,0,0,-2,2.5989
Male,0 - 10k,180 - 185,Yes,They complement each other,Always,No,At least once a week,Never,Yes,0,0,-1,0,1,-1,-1,1,0,-1,0,1,0,0,-1,-2,1,0,-2,0,-1,2,1,-2,0,1,1,-1,0,-2,-2,-13.2451
Female,15k - 20k,175 - 180,Yes,They complement each other,Never,"Yes, I have both",More than three times a week,Never,Yes,0,2,2,-2,0,1,-1,2,2,0,-1,-1,0,1,1,1,1,-2,-1,1,0,2,1,0,-2,1,1,-1,2,0,-1,0.266038
Male,120k - 150k,170 - 175,Yes,They complement each other,Never,"Yes, I have both",No,Rarely,Yes,0,1,1,-2,-2,0,-2,0,-2,-1,-2,-2,-2,0,0,-2,1,0,0,0,0,0,0,0,0,0,1,-2,0,-2,-2,-9.59491
Female,200k above,150 - 155,Yes,They complement each other,Rarely,"Yes, I have family",No,Sometimes,Yes,-1,0,-2,0,-2,-2,-1,1,-2,0,-2,-2,0,0,-1,1,1,0,-1,-2,0,2,1,1,-1,0,-2,-1,1,2,-1,14.3998
Female,0 - 10k,160 - 165,Yes,They complement each other,Sometimes,"Yes, I have both",At least once a month,Never,Yes,-2,1,1,0,0,1,-1,0,1,1,1,1,0,1,-1,-1,1,1,-2,2,-1,1,2,0,-2,2,0,-2,2,0,1,-10.3603
Male,200k above,160 - 165,Yes,They are separate,Sometimes,"Yes, I have both",At least once a month,Sometimes,Yes,-2,1,1,0,-2,0,-1,0,1,-2,-2,0,1,-2,-1,-2,1,-2,-2,0,0,1,1,0,0,-2,-2,-2,0,1,0,2.67485
Female,0 - 10k,165 - 170,Yes,They complement each other,Sometimes,"Yes, I have both",At least once a month,Rarely,Yes,-2,0,0,-2,1,1,-2,1,1,1,-1,-2,-2,-2,1,-1,1,-2,2,0,1,0,2,-2,1,0,0,1,1,-2,0,-11.4449
Female,15k - 20k,160 - 165,Yes,They conflict,Never,"Yes, I have both",At least once a month,Rarely,Yes,-1,1,0,1,1,0,-2,0,0,-2,2,2,0,1,-2,0,2,1,0,2,-1,1,1,2,-2,1,0,-2,0,0,-2,-2.11228
Male,0 - 10k,160 - 165,Yes,They are separate,Sometimes,"Yes, I have family",At least once a month,Sometimes,Yes,-2,1,2,1,1,-1,-2,1,1,-2,1,-1,1,0,-2,1,2,0,-1,0,-1,1,1,0,-2,1,2,-1,1,0,-1,-4.67033
Female,120k - 150k,175 - 180,Yes,They conflict,Sometimes,"Yes, I have both",More than three times a week,Sometimes,Yes,0,2,2,-2,0,-2,0,1,2,0,0,0,0,1,1,2,1,1,0,0,-2,2,1,0,-2,1,2,1,0,1,-2,-10.591
Female,15k - 20k,170 - 175,Yes,They are separate,Never,"Yes, I have family",More than three times a week,Never,No,0,-2,-2,1,-1,-2,-2,-2,-2,-2,0,2,0,0,0,-2,1,0,0,-2,2,-2,-2,0,1,-2,-2,1,0,0,1,3.65809
Female,0 - 10k,170 - 175,Yes,They complement each other,Rarely,"Yes, I have family",At least once a week,Always,Yes,-1,0,-1,-2,-2,-1,-1,-1,0,-1,-2,0,0,0,-1,0,1,1,-1,0,-1,-2,0,-2,-2,0,-2,0,1,1,-2,-2.00679
Male,120k - 150k,165 - 170,Yes,They complement each other,Never,No,At least once a month,Always,Yes,1,2,1,2,0,-2,-2,1,2,0,2,0,0,1,-2,0,1,2,-1,2,-1,2,1,2,1,1,1,-2,0,1,-2,0.842494
Male,0 - 10k,170 - 175,Yes,They complement each other,Sometimes,"Yes, I have both",No,Always,Yes,1,0,-2,-2,-2,0,0,0,-2,-1,-2,1,1,1,0,-2,0,-2,2,0,1,0,0,-2,2,1,-2,1,1,0,1,-24.6542
Female,0 - 10k,155 - 160,Yes,They complement each other,Sometimes,"Yes, I have both",More than three times a week,Sometimes,Yes,1,1,2,-2,-2,-1,0,0,1,-2,0,-2,-2,1,1,0,0,0,-2,0,-2,0,0,0,2,0,0,1,0,0,-2,-35.6835
Male,0 - 10k,170 - 175,Yes,They complement each other,Sometimes,"Yes, I have both",At least once a month,Sometimes,No,0,-1,-1,-1,-1,-1,0,0,-1,-1,1,1,0,0,-1,0,1,1,0,1,-1,1,0,0,1,0,-1,0,0,1,1,-5.48655
Female,10k - 15k,155 - 160,Yes,They conflict,Sometimes,"Yes, I have both",Rarely,Sometimes,Yes,-2,1,-1,-2,0,-2,1,1,1,0,1,0,0,0,-1,-2,1,1,-2,0,0,1,1,0,-2,1,0,-2,0,-2,-2,-8.35058
Male,80k - 120k,165 - 170,Yes,They complement each other,Sometimes,"Yes, I have family",More than three times a week,Rarely,Yes,0,1,1,-2,-2,2,0,0,1,-2,1,-1,2,1,-2,0,1,2,0,0,-2,2,0,2,-2,0,0,1,1,1,-1,25.3888
Female,0 - 10k,160 - 165,Yes,They complement each other,Rarely,"Yes, I have family",At least once a week,Always,Yes,-1,1,0,0,1,-1,-1,1,-2,0,-1,0,0,0,-1,1,1,-2,-1,-2,0,1,0,-2,-2,0,-2,-2,1,-2,-1,-6.86242
Male,20k - 50k,175 - 180,Yes,They are separate,Sometimes,"Yes, I have both",More than three times a week,Rarely,Yes,1,1,2,0,0,0,-2,1,0,-2,0,-2,2,1,1,1,2,0,1,-1,-2,1,2,-2,0,1,0,-1,0,1,0,8.8888
Female,0 - 10k,150 - 155,Yes,They complement each other,Sometimes,"Yes, I have both",At least once a week,Always,Yes,1,0,0,0,0,-1,0,1,1,0,1,-1,1,1,0,0,1,1,1,1,-1,1,1,1,1,0,-1,-1,0,1,0,-13.2523
Male,10k - 15k,175 - 180,Yes,They complement each other,Never,"Yes, I have family",At least once a week,Always,Yes,2,1,0,2,0,-1,-2,-2,0,0,-1,2,0,0,2,-1,0,0,-2,0,-1,-2,0,-2,-2,-2,0,-2,-2,-2,0,-6.58482
Male,0 - 10k,170 - 175,Yes,They complement each other,Sometimes,"Yes, I have both",At least once a week,Sometimes,Yes,1,1,2,1,1,0,0,2,2,1,1,0,1,1,0,1,1,1,0,1,-1,0,0,1,0,1,1,1,1,1,-1,-10.6553
Male,80k - 120k,180 - 185,Yes,They are separate,Sometimes,"Yes, I have family",At least once a month,Sometimes,Yes,0,-2,1,1,-2,-1,-2,0,-2,-2,-2,-2,2,0,-2,1,0,1,-1,-2,-1,0,-2,0,-1,0,-2,0,1,2,0,32.5949
Female,10k - 15k,140 - 150,Yes,They are separate,Rarely,"Yes, I have both",Rarely,Always,Yes,0,2,-2,-2,0,-1,-2,1,1,0,-2,0,1,0,-1,0,1,0,2,1,-1,2,2,0,1,1,0,-2,2,1,0,-2.26376
Male,150k - 200k,155 - 160,Yes,They conflict,Sometimes,"Yes, I have both",More than three times a week,Always,Yes,0,1,1,-2,-2,2,-1,-2,1,-1,-2,-2,-2,0,1,-2,2,0,1,-2,1,-2,-2,0,2,-2,0,0,0,-2,1,-4.39127
Other,120k - 150k,180 - 185,Yes,They complement each other,Sometimes,"Yes, I have family",No,Never,Yes,1,1,0,0,-2,-2,-2,-2,0,-1,-1,-2,0,1,0,0,2,1,0,-2,-2,0,1,-1,0,0,0,-2,0,0,0,-4.498
Female,150k - 200k,180 - 185,Yes,They complement each other,Rarely,"Yes, I have both",More than three times a week,Always,Yes,1,1,0,1,0,0,1,2,1,1,0,0,0,0,1,0,0,1,-2,2,0,1,1,2,-2,2,1,1,1,2,-1,-7.52369
Female,0 - 10k,175 - 180,Yes,They complement each other,Rarely,"Yes, I have family",Rarely,Sometimes,Yes,-1,1,2,1,1,-1,-1,1,1,-1,1,-1,-1,-1,-1,0,1,1,-1,1,-1,1,1,1,-1,1,1,1,1,0,-1,-1.1255
Male,0 - 10k,170 - 175,Yes,They conflict,Sometimes,"Yes, I have both",At least once a week,Always,Yes,1,2,0,-2,1,1,-2,1,1,-1,-1,-1,1,1,1,-1,1,2,1,1,0,1,2,1,0,-1,0,2,0,1,1,-10.7202
Male,150k - 200k,170 - 175,Yes,They are separate,Sometimes,"Yes, I have both",Rarely,Always,Yes,-2,1,-2,0,1,-2,-2,0,0,0,0,1,-2,-2,1,1,2,0,0,1,-1,-2,1,-2,0,2,0,-1,1,-2,0,9.74698
Male,0 - 10k,150 - 155,Yes,They are separate,Never,"Yes, I have both",At least once a month,Never,Yes,-2,0,-1,-2,0,0,-2,1,0,-2,0,1,-2,1,-2,0,0,0,-1,0,-1,1,1,1,-2,1,1,0,0,0,1,-24.8261
Male,10k - 15k,165 - 170,Yes,They are separate,Never,"Yes, I have both",More than three times a week,Sometimes,Yes,1,1,0,0,-2,2,0,0,2,-2,0,-2,0,-1,0,0,1,0,-2,0,0,-2,0,0,2,0,1,0,0,0,0,-9.17942
Female,0 - 10k,160 - 165,Yes,They are separate,Sometimes,"Yes, I have both",At least once a week,Always,Yes,0,1,-1,1,0,-2,-1,0,0,0,0,1,0,1,-1,0,1,1,0,1,-1,0,1,0,0,0,1,-1,1,1,0,-6.88219
Male,0 - 10k,170 - 175,Yes,They complement each other,Always,"Yes, I have both",At least once a month,Always,Yes,0,0,0,0,1,-1,-1,0,1,0,1,0,0,1,0,0,0,0,-1,0,-1,0,1,1,1,1,1,0,0,2,0,-5.21521
Male,0 - 10k,175 - 180,Yes,They conflict,Sometimes,"Yes, I have both",More than three times a week,Always,Yes,-1,0,1,0,0,1,-1,1,1,-1,0,-1,1,1,0,0,1,0,0,0,-1,1,0,-1,0,0,0,0,0,-1,0,-1.41073
Male,80k - 120k,165 - 170,Yes,They complement each other,Sometimes,"Yes, I have both",At least once a week,Never,Yes,-2,1,-2,1,2,0,-2,1,1,1,0,2,0,0,0,0,1,1,2,0,-2,1,0,0,1,0,2,-2,1,1,-2,33.0618
Female,10k - 15k,175 - 180,Yes,They complement each other,Never,No,At least once a month,Always,Yes,0,2,2,1,2,2,0,0,2,0,0,-2,1,2,-2,0,1,1,-1,2,-2,1,0,1,-2,0,2,0,0,1,0,-13.6938
Male,120k - 150k,165 - 170,Yes,They complement each other,Sometimes,"Yes, I have both",At least once a week,Never,Yes,0,2,0,-2,-2,1,-2,-2,0,1,-2,0,0,1,0,-2,1,0,0,0,-2,0,0,0,-2,1,1,-2,1,0,0,5.22936
Male,80k - 120k,180 - 185,Yes,They complement each other,Never,"Yes, I have both",More than three times a week,Always,Yes,0,2,1,-2,1,0,-1,1,1,1,0,-1,2,0,1,0,1,-2,0,1,-1,1,0,0,0,0,0,-2,2,1,0,21.0908
Female,0 - 10k,155 - 160,Yes,They complement each other,Sometimes,No,At least once a week,Never,No,1,2,-1,0,-1,0,-2,-2,0,2,-2,0,-1,0,1,-1,0,0,1,0,0,1,0,0,0,-1,-2,-2,-2,-2,2,-21.8672
Female,0 - 10k,180 - 185,Yes,They are separate,Sometimes,"Yes, I have family",More than three times a week,Rarely,Yes,0,2,2,0,1,-2,-1,1,1,-2,0,0,0,1,1,0,1,1,1,1,-1,2,2,1,1,0,1,-1,1,-1,-2,-6.33507
Female,20k - 50k,170 - 175,Yes,They complement each other,Never,"Yes, I have family",At least once a week,Never,No,0,-2,1,-2,-2,0,-2,-2,0,0,-1,0,-2,-1,0,-1,1,0,0,0,0,-1,-2,0,-2,-1,-1,2,0,1,-1,13.7282
Male,50k - 80k,170 - 175,Yes,They conflict,Always,"Yes, I have both",More than three times a week,Always,Yes,1,1,0,-2,0,0,-2,1,2,1,0,2,-2,0,2,0,2,0,0,0,0,0,1,-2,0,-2,2,1,1,-2,0,13.2414
Male,0 - 10k,165 - 170,Yes,They are separate,Sometimes,"Yes, I have both",At least once a week,Always,Yes,0,0,-1,0,0,0,-1,0,0,0,0,-1,0,0,1,0,1,0,-1,0,-1,1,0,0,0,0,0,-1,1,1,1,-6.21555
Male,120k - 150k,165 - 170,Yes,They conflict,Rarely,"Yes, I have both",More than three times a week,Always,Yes,-2,1,1,0,1,2,0,0,1,-2,1,2,-2,2,1,-2,0,0,1,0,1,1,2,0,0,-2,-2,0,-1,0,0,-5.32572
Female,80k - 120k,150 - 155,Yes,They are separate,Rarely,"Yes, I have family",At least once a week,Rarely,Yes,-2,1,-2,0,-2,0,-2,1,1,2,0,0,1,-2,1,0,0,1,-2,2,0,2,0,0,0,1,1,1,0,1,1,32.1776
Male,0 - 10k,160 - 165,Yes,They are separate,Rarely,"Yes, I have both",At least once a week,Rarely,Yes,0,2,-2,1,1,1,0,1,1,-1,1,-1,-2,0,-2,-1,-1,-1,-1,0,-2,1,1,-2,-2,0,0,0,0,-2,-1,-25.0814
Male,0 - 10k,175 - 180,Yes,They are separate,Never,No,At least once a week,Never,Yes,-1,2,0,0,-2,-2,-1,-2,1,-2,-2,2,-1,1,-2,1,1,1,0,1,-1,-1,0,2,-2,0,1,-1,1,0,-2,3.76291
Male,50k - 80k,170 - 175,Yes,They complement each other,Sometimes,"Yes, I have family",At least once a week,Sometimes,Yes,-1,1,0,1,1,0,-2,0,0,-1,0,-1,-2,0,-2,0,2,2,-2,1,-2,2,0,-2,-1,1,0,-1,2,-2,-2,29.3352
Female,0 - 10k,160 - 165,Yes,They complement each other,Sometimes,"Yes, I have both",At least once a week,Rarely,Yes,-1,1,-2,-2,0,-2,-1,2,1,-2,0,1,1,0,-2,0,1,0,0,1,-1,1,1,0,-2,0,-2,0,0,0,1,-0.739451
Female,0 - 10k,140 - 150,Yes,They conflict,Rarely,"Yes, I have both",No,Always,Yes,-1,2,1,0,2,-2,-1,2,1,-2,-1,-2,0,2,-1,2,0,0,-1,1,-1,2,2,-2,-1,2,0,-2,2,1,-1,4.6917
Other,120k - 150k,170 - 175,Yes,They conflict,Always,"Yes, I have both",At least once a week,Always,Yes,-2,1,2,2,2,-2,-1,-2,1,0,0,-1,-2,2,-1,0,2,1,-2,1,-1,0,2,-1,-2,2,2,-1,0,-2,-1,2.07265
Female,10k - 15k,155 - 160,Yes,They complement each other,Sometimes,"Yes, I have both",More than three times a week,Sometimes,Yes,-1,1,2,-1,1,0,-2,0,0,0,1,-2,0,2,0,0,2,0,-1,1,-2,0,0,0,0,1,0,-2,0,1,0,-5.21533
Female,15k - 20k,160 - 165,Yes,They conflict,Rarely,"Yes, I have family",At least once a month,Sometimes,Yes,-2,1,-2,0,1,0,0,1,0,-2,0,-1,-2,-1,1,-2,1,-1,-2,0,-1,1,2,0,-1,-2,-2,-2,0,0,-2,1.72755
Male,0 - 10k,175 - 180,Yes,They complement each other,Sometimes,"Yes, I have both",More than three times a week,Rarely,No,2,2,0,-1,-2,0,0,-2,-2,0,-2,-2,0,0,0,-1,1,-1,1,0,-2,0,1,-2,2,-2,-1,0,0,0,1,-8.06227
Male,15k - 20k,175 - 180,Yes,They complement each other,Rarely,"Yes, I have both",More than three times a week,Rarely,No,0,0,-2,-2,0,-2,-2,-1,-1,1,0,1,1,2,1,0,0,-1,0,-2,0,0,0,-1,1,-2,-1,1,-2,0,2,0.0694285
Female,150k - 200k,170 - 175,Yes,They are separate,Never,"Yes, I have both",More than three times a week,Rarely,No,-2,2,0,-2,-2,0,-1,1,1,-2,2,-2,2,1,-1,0,2,1,-1,1,-2,2,1,0,0,2,1,-2,1,0,0,1.60582
Male,0 - 10k,175 - 180,Yes,They are separate,Sometimes,"Yes, I have both",At least once a month,Rarely,Yes,0,1,-1,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-1,0,0,0,0,0,0,0,0,-4.25518
Male,50k - 80k,165 - 170,Yes,They conflict,Never,"Yes, I have family",More than three times a week,Always,Yes,-1,2,2,-2,2,0,-1,2,1,-1,0,0,0,1,0,1,2,2,-2,1,-1,2,2,1,-1,2,2,-1,2,0,-2,19.2528
Male,10k - 15k,170 - 175,Yes,They complement each other,Sometimes,"Yes, I have family",No,Sometimes,Yes,0,0,-2,0,-1,0,1,-2,0,-2,1,0,-2,-2,2,-1,1,-2,0,0,1,0,0,-2,0,0,-2,0,-2,-1,-2,-11.2004
Male,0 - 10k,180 - 185,Yes,They are separate,Rarely,"Yes, I have family",At least once a week,Sometimes,Yes,0,0,-1,-1,-1,0,-1,-1,0,1,0,1,1,0,1,0,1,0,0,0,1,0,1,0,1,0,0,-1,0,-1,0,-2.92369
Male,0 - 10k,175 - 180,Yes,They are separate,Rarely,"Yes, I have family",Rarely,Sometimes,Yes,1,0,0,0,-1,-1,1,0,0,0,-1,0,0,0,-1,0,0,0,0,0,0,0,0,-1,1,0,0,1,0,0,1,-9.85411
Female,150k - 200k,160 - 165,Yes,They conflict,Rarely,"Yes, I have both",Rarely,Rarely,Yes,-2,0,0,-2,0,-2,0,1,1,0,0,1,-1,0,0,1,0,0,0,-2,1,0,1,-1,-2,0,0,1,1,0,1,-0.271924
Male,15k - 20k,175 - 180,Yes,They complement each other,Sometimes,"Yes, I have family",No,Sometimes,Yes,-2,1,2,-2,-2,1,-2,0,0,-2,1,-1,0,1,2,0,1,0,1,1,-1,1,1,1,1,0,-2,-2,-2,0,2,1.66489
Male,200k above,165 - 170,Yes,They complement each other,Rarely,"Yes, I have both",At least once a week,Sometimes,Yes,-1,-2,0,1,-2,0,-1,0,0,-1,0,1,0,-2,-1,1,2,-2,2,0,-2,0,0,-2,-2,0,0,2,0,-2,0,6.62474
Female,0 - 10k,150 - 155,Yes,They complement each other,Sometimes,"Yes, I have family",Rarely,Always,Yes,-1,2,0,0,2,-1,0,1,1,0,0,2,0,2,-1,1,0,2,-2,2,-1,1,2,2,-2,2,2,1,1,2,-1,-6.09718
Female,200k above,155 - 160,Yes,They are separate,Sometimes,"Yes, I have family",Rarely,Always,Yes,0,1,0,-1,-2,0,-1,-2,0,-1,-1,-2,-2,2,-2,-2,0,-2,0,0,-1,1,0,1,-2,0,-2,-2,1,0,0,14.1282
Male,0 - 10k,165 - 170,Yes,They complement each other,Rarely,"Yes, I have both",More than three times a week,Sometimes,Yes,-1,0,1,-2,-2,-1,-1,0,1,-1,0,0,1,0,-2,0,1,0,0,0,0,0,1,1,-2,1,-2,0,0,0,-2,-20.6094
Male,0 - 10k,180 - 185,Yes,They complement each other,Rarely,"Yes, I have both",No,Sometimes,No,1,1,-1,-2,-1,-2,0,1,-2,-1,-1,0,-2,-2,0,0,0,-2,-2,-2,1,1,0,-1,1,-2,0,0,0,-2,-1,-15.7845
Male,0 - 10k,170 - 175,No,They conflict,Always,"Yes, I have friends",Rarely,Always,Yes,2,1,2,1,1,-2,0,0,2,-2,2,0,1,2,2,1,2,1,2,0,-1,1,1,2,-2,2,2,0,2,2,-1,-24.8969
Male,120k - 150k,165 - 170,Yes,They complement each other,Rarely,No,At least once a month,Rarely,Yes,-1,0,1,1,1,-1,-1,1,2,-1,0,1,0,1,-1,1,1,1,-1,2,-2,1,1,0,-1,2,1,-1,2,1,-1,15.6263
